scenario_order_id,ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
25,0x210a,HYDRES19DEL02,17.458998,78.500366,17.588998,78.630366,18-03-2022,20:30,20:35,Fog,Jam,Metropolitian,electric_scooter,2,2.0,39,HYD,2022-03-18,20:30:00,20:35:00,20.0,39
26,0x2d06,HYDRES16DEL02,17.440827,78.393391,17.570827,78.523391,18-03-2022,20:30,20:45,Sunny,Jam,Metropolitian,scooter,2,1.0,22,HYD,2022-03-18,20:30:00,20:45:00,20.0,22
27,0x557e,HYDRES010DEL01,17.428294,78.404423,17.498294,78.474423,18-03-2022,20:55,0.875,Sandstorms,Jam,Urban,motorcycle,1,1.0,20,HYD,2022-03-18,20:55:00,,20.0,20
28,0xb4da,HYDRES02DEL01,17.41233,78.449654,17.48233,78.519654,18-03-2022,21:15,21:25,Fog,Jam,Metropolitian,motorcycle,0,0.0,52,HYD,2022-03-18,21:15:00,21:25:00,21.0,52
29,0x2788,HYDRES010DEL01,17.428294,78.404423,17.538294,78.514423,18-03-2022,21:20,21:25,Windy,Jam,Metropolitian,motorcycle,2,1.0,27,HYD,2022-03-18,21:20:00,21:25:00,21.0,27
30,0xb042,HYDRES15DEL01,17.45971,78.368855,17.56971,78.478855,18-03-2022,21:25,21:30,Windy,Jam,Metropolitian,scooter,2,2.0,37,HYD,2022-03-18,21:25:00,21:30:00,21.0,37
31,0x6a6b,HYDRES20DEL03,17.483216,78.552111,17.573216,78.642111,18-03-2022,21:35,21:40,Sunny,Jam,Metropolitian,scooter,1,0.0,22,HYD,2022-03-18,21:35:00,21:40:00,21.0,22
32,0x1685,HYDRES09DEL01,17.431668,78.408321,17.541668,78.518321,18-03-2022,21:45,0.916666667,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,29,HYD,2022-03-18,21:45:00,,21.0,29
33,0x334f,HYDRES06DEL02,17.455894,78.375467,17.585894,78.505467,18-03-2022,21:45,21:50,Stormy,Jam,Metropolitian,scooter,2,1.0,25,HYD,2022-03-18,21:45:00,21:50:00,21.0,25
34,0xb840,HYDRES15DEL02,17.45971,78.368855,17.58971,78.498855,18-03-2022,21:45,21:55,Windy,Jam,Metropolitian,motorcycle,0,2.0,40,HYD,2022-03-18,21:45:00,21:55:00,21.0,40
35,0x58c6,HYDRES17DEL03,17.451976,78.385883,17.541976,78.475883,18-03-2022,21:55,22:05,Fog,Jam,Metropolitian,motorcycle,1,0.0,42,HYD,2022-03-18,21:55:00,22:05:00,21.0,42
36,0x4760,HYDRES17DEL01,17.451976,78.385883,17.521976,78.455883,18-03-2022,22:10,22:15,Cloudy,Low,Metropolitian,scooter,1,1.0,26,HYD,2022-03-18,22:10:00,22:15:00,22.0,26
37,0x1475,HYDRES11DEL01,17.430448,78.418213,17.500448,78.488213,18-03-2022,22:20,22:25,Stormy,Low,Metropolitian,scooter,1,0.0,24,HYD,2022-03-18,22:20:00,22:25:00,22.0,24
38,0x21e7,HYDRES03DEL01,17.422819,78.449578,17.532819,78.559578,18-03-2022,22:20,22:35,Stormy,Low,Urban,motorcycle,1,0.0,16,HYD,2022-03-18,22:20:00,22:35:00,22.0,16
39,0x75a1,HYDRES18DEL02,17.450851,78.379347,17.530851,78.459347,18-03-2022,22:20,22:25,Stormy,Low,Metropolitian,scooter,2,0.0,10,HYD,2022-03-18,22:20:00,22:25:00,22.0,10
40,0x595e,HYDRES03DEL02,17.422819,78.449578,17.502819,78.529578,18-03-2022,22:30,22:40,Sandstorms,Low,Metropolitian,motorcycle,0,0.0,26,HYD,2022-03-18,22:30:00,22:40:00,22.0,26
41,0x15ef,HYDRES08DEL02,17.438263,78.397865,17.568263,78.527865,18-03-2022,22:45,22:50,Windy,Low,Metropolitian,scooter,2,0.0,22,HYD,2022-03-18,22:45:00,22:50:00,22.0,22
42,0x198f,HYDRES07DEL03,17.424114,78.347554,17.514114,78.437554,18-03-2022,22:45,0.958333333,Cloudy,Low,Metropolitian,motorcycle,1,1.0,25,HYD,2022-03-18,22:45:00,,22.0,25
43,0x3690,HYDRES06DEL03,17.455894,78.375467,17.545894,78.465467,18-03-2022,22:55,23:10,Stormy,Low,Urban,motorcycle,2,1.0,26,HYD,2022-03-18,22:55:00,23:10:00,22.0,26
44,0x87b1,HYDRES14DEL02,17.426228,78.407495,17.556228,78.537495,18-03-2022,22:55,23:05,Cloudy,Low,Metropolitian,motorcycle,1,0.0,37,HYD,2022-03-18,22:55:00,23:05:00,22.0,37
45,0xb7c0,HYDRES07DEL01,17.424114,78.347554,17.494114,78.417554,18-03-2022,23:25,23:35,Stormy,Low,Urban,scooter,2,1.0,22,HYD,2022-03-18,23:25:00,23:35:00,23.0,22
46,0x4535,HYDRES09DEL02,17.431668,78.408321,17.511668,78.488321,18-03-2022,23:35,23:40,Fog,Low,Urban,scooter,2,1.0,24,HYD,2022-03-18,23:35:00,23:40:00,23.0,24
47,0x62f2,HYDRES20DEL02,17.483216,78.552111,17.613216,78.682111,18-03-2022,23:35,23:50,Fog,Low,Urban,scooter,2,1.0,31,HYD,2022-03-18,23:35:00,23:50:00,23.0,31
48,0x6a96,HYDRES11DEL02,17.430448,78.418213,17.510448,78.498213,18-03-2022,23:45,1,Windy,Low,Metropolitian,scooter,1,1.0,17,HYD,2022-03-18,23:45:00,,23.0,17
49,0x9b59,HYDRES06DEL02,17.455894,78.375467,17.535894,78.455467,18-03-2022,23:50,24:05:00,Fog,Low,Metropolitian,motorcycle,0,2.0,43,HYD,2022-03-18,23:50:00,,23.0,43
50,0x2daf,HYDRES05DEL02,17.433809,78.386744,17.563809,78.516744,18-03-2022,23:55,24:10:00,Sunny,Low,Metropolitian,scooter,1,1.0,43,HYD,2022-03-18,23:55:00,,23.0,43
