ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
0x7ac8,COIMBRES14DEL02,11.003681,76.975525,11.083681,77.055525,04-04-2022,20:45,20:55,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,36,COIMB,2022-04-04,20:45:00,20:55:00,20.0,36
0x3da1,SURRES08DEL03,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50,23:05,Cloudy,Low,Metropolitian,motorcycle,2,0.0,16,SUR,2022-03-26,22:50:00,23:05:00,22.0,16
0x272d,COIMBRES07DEL03,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55,0.75,Sunny,Medium,Urban,motorcycle,0,0.0,19,COIMB,2022-03-10,17:55:00,,17.0,19
0xddc5,AGRRES12DEL03,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45,0.958333333,Sunny,Low,Metropolitian,motorcycle,1,1.0,27,AGR,2022-02-14,22:45:00,,22.0,27
0x8aa2,JAPRES18DEL02,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25,22:35,Sandstorms,Low,Urban,scooter,1,0.0,18,JAP,2022-03-29,22:25:00,22:35:00,22.0,18
0xb55a,MYSRES04DEL03,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55,0.916666667,Sunny,Jam,Metropolitian,scooter,2,0.0,22,MYS,2022-03-30,21:55:00,,21.0,22
0x73cc,SURRES12DEL01,21.183434,72.814492,21.253434,72.884492,12-03-2022,22:40,22:55,Cloudy,Low,Metropolitian,scooter,2,1.0,34,SUR,2022-03-12,22:40:00,22:55:00,22.0,34
0xbe80,MUMRES04DEL01,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50,23:55,Sandstorms,Low,Urban,motorcycle,0,0.0,24,MUM,2022-03-31,23:50:00,23:55:00,23.0,24
0x1609,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25,15:40,Fog,Medium,Metropolitian,scooter,2,1.0,17,PUNE,2022-03-17,15:25:00,15:40:00,15.0,17
0xd255,ALHRES07DEL02,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20,10:30,Sandstorms,Low,Metropolitian,electric_scooter,2,0.0,14,ALH,2022-02-15,10:20:00,10:30:00,10.0,14
0xde72,DEHRES19DEL02,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55,0.875,Stormy,Jam,Metropolitian,motorcycle,2,1.0,30,DEH,2022-02-15,20:55:00,,20.0,30
0xa258,CHENRES12DEL03,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10,20:15,Cloudy,Jam,Metropolitian,scooter,1,1.0,36,CHEN,2022-03-16,20:10:00,20:15:00,20.0,36
0x8b53,SURRES11DEL01,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10,12:15,Sunny,High,Urban,scooter,1,1.0,18,SUR,2022-03-17,12:10:00,12:15:00,12.0,18
0xbbde,SURRES01DEL01,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30,15:45,Fog,Medium,Metropolitian,scooter,1,0.0,17,SUR,2022-03-15,15:30:00,15:45:00,15.0,17
0x4b7f,HYDRES13DEL03,17.431477,78.40035,17.491477,78.46035,05-03-2022,23:50,24:05:00,Fog,Low,Metropolitian,motorcycle,1,0.0,10,HYD,2022-03-05,23:50:00,,23.0,10
0xb962,CHENRES11DEL03,13.064181,80.236442,13.154181,80.326442,12-03-2022,20:25,20:40,Sandstorms,Jam,Metropolitian,motorcycle,1,2.0,37,CHEN,2022-03-12,20:25:00,20:40:00,20.0,37
0x633c,BANGRES010DEL03,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50,0.875,Fog,Jam,Metropolitian,scooter,1,2.0,44,BANG,2022-03-29,20:50:00,,20.0,44
0x2dc6,VADRES20DEL01,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35,12:45,Windy,High,Metropolitian,electric_scooter,2,1.0,28,VAD,2022-03-19,12:35:00,12:45:00,12.0,28
0x1fb7,CHENRES02DEL01,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15,18:20,Cloudy,Medium,Metropolitian,scooter,2,1.0,39,CHEN,2022-03-27,18:15:00,18:20:00,18.0,39
0x34d7,MUMRES04DEL01,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20,18:25,Stormy,Medium,Urban,motorcycle,0,0.0,20,MUM,2022-03-27,18:20:00,18:25:00,18.0,20
0x156b,JAPRES03DEL02,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45,11:50,Stormy,High,Metropolitian,motorcycle,1,1.0,31,JAP,2022-03-24,11:45:00,11:50:00,11.0,31
0x56ad,HYDRES04DEL03,17.411028,78.329645,17.471028,78.389645,09-03-2022,20:45,20:55,Stormy,Jam,Metropolitian,motorcycle,1,0.0,13,HYD,2022-03-09,20:45:00,20:55:00,20.0,13
0x837c,PUNERES14DEL02,18.516216,73.842527,18.566216,73.892527,03-03-2022,21:55,22:10,Stormy,Jam,Metropolitian,motorcycle,1,,28,PUNE,2022-03-03,21:55:00,22:10:00,21.0,28
0xcbc4,GOARES04DEL01,15.5696,73.742294,15.6096,73.782294,15-02-2022,12:45,12:50,Windy,High,Urban,scooter,1,1.0,19,GOA,2022-02-15,12:45:00,12:50:00,12.0,19
0xc19e,AURGRES08DEL02,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30,23:45,Fog,Low,Urban,motorcycle,0,2.0,42,AURG,2022-02-18,23:30:00,23:45:00,23.0,42
0x1d60,BANGRES12DEL01,12.939496,77.625999,12.949496,77.635999,01-03-2022,10:50,10:55,Fog,Low,Metropolitian,motorcycle,0,1.0,23,BANG,2022-03-01,10:50:00,10:55:00,10.0,23
0x95fb,HYDRES05DEL01,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25,21:40,Stormy,Jam,Metropolitian,motorcycle,0,1.0,39,HYD,2022-03-23,21:25:00,21:40:00,21.0,39
0x8195,RANCHIRES17DEL01,23.374878,85.335739,23.384878,85.345739,01-04-2022,10:10,10:20,Stormy,Low,Metropolitian,motorcycle,2,1.0,25,RANCHI,2022-04-01,10:10:00,10:20:00,10.0,25
0x6d19,INDORES12DEL02,22.74806,75.8934,22.76806,75.9134,11-03-2022,08:40,08:55,Cloudy,Low,Urban,scooter,2,1.0,15,INDO,2022-03-11,08:40:00,08:55:00,8.0,15
0x35e6,JAPRES15DEL03,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50,17:55,Sunny,Medium,Metropolitian,electric_scooter,2,0.0,15,JAP,2022-03-14,17:50:00,17:55:00,17.0,15
0xb437,SURRES16DEL01,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25,20:40,Stormy,Jam,Metropolitian,motorcycle,1,,15,SUR,2022-03-18,20:25:00,20:40:00,20.0,15
0x97e3,MYSRES16DEL02,12.316967,76.603067,12.366967,76.653067,01-04-2022,22:20,22:25,Sunny,Low,Metropolitian,motorcycle,0,0.0,18,MYS,2022-04-01,22:20:00,22:25:00,22.0,18
0xa3e0,MUMRES05DEL03,18.927584,72.832585,19.017584,72.922585,04-04-2022,23:40,23:50,Sandstorms,Low,Metropolitian,electric_scooter,2,0.0,29,MUM,2022-04-04,23:40:00,23:50:00,23.0,29
0x4161,COIMBRES19DEL02,11.022298,76.998349,11.072298,77.048349,11-03-2022,23:25,23:30,Fog,Low,Metropolitian,motorcycle,0,0.0,20,COIMB,2022-03-11,23:25:00,23:30:00,23.0,20
0x1236,MYSRES07DEL01,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40,12:55,Cloudy,High,Metropolitian,scooter,2,1.0,39,MYS,2022-03-13,12:40:00,12:55:00,12.0,39
0x2558,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,04-03-2022,23:30,23:45,Windy,Low,Metropolitian,motorcycle,0,0.0,19,PUNE,2022-03-04,23:30:00,23:45:00,23.0,19
0x3185,HYDRES19DEL03,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55,24:10:00,Cloudy,Low,Urban,scooter,1,1.0,19,HYD,2022-03-26,23:55:00,,23.0,19
0x3c57,MUMRES14DEL02,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50,0.958333333,Windy,Low,Metropolitian,motorcycle,0,0.0,17,MUM,2022-03-16,22:50:00,,22.0,17
0x4863,COIMBRES02DEL01,11.022477,76.995667,11.032477,77.005667,01-03-2022,10:25,10:40,Stormy,Low,Urban,motorcycle,2,1.0,15,COIMB,2022-03-01,10:25:00,10:40:00,10.0,15
0x6757,INDORES05DEL02,22.727021,75.884167,22.747021,75.904167,15-03-2022,08:45,0.375,Sandstorms,Low,Urban,motorcycle,0,0.0,19,INDO,2022-03-15,08:45:00,,8.0,19
0x22ad,BANGRES03DEL03,12.979166,77.640709,13.069166,77.730709,04-03-2022,21:25,21:40,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,29,BANG,2022-03-04,21:25:00,21:40:00,21.0,29
0x9f99,MUMRES11DEL01,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35,22:40,Cloudy,Low,Urban,scooter,2,1.0,22,MUM,2022-03-18,22:35:00,22:40:00,22.0,22
0x6781,MYSRES12DEL02,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10,20:20,Fog,Jam,Metropolitian,scooter,1,0.0,42,MYS,2022-03-23,20:10:00,20:20:00,20.0,42
0x1b8d,SURRES09DEL02,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55,11:10,Sandstorms,Low,Urban,scooter,2,0.0,12,SUR,2022-03-15,10:55:00,11:10:00,10.0,12
0x1aea,COIMBRES12DEL02,11.000762,76.981876,11.130762,77.111876,08-03-2022,20:35,20:45,Cloudy,Jam,Metropolitian,motorcycle,1,1.0,38,COIMB,2022-03-08,20:35:00,20:45:00,20.0,38
0x1e42,SURRES08DEL01,21.173343,72.792731,21.283343,72.902731,10-03-2022,23:20,23:35,Sunny,Low,Metropolitian,motorcycle,0,1.0,23,SUR,2022-03-10,23:20:00,23:35:00,23.0,23
0xddc8,KNPRES05DEL02,26.479108,80.315042,26.499108,80.335042,11-02-2022,10:35,10:50,Cloudy,Low,Metropolitian,scooter,1,0.0,15,KNP,2022-02-11,10:35:00,10:50:00,10.0,15
0x24ac,SURRES05DEL02,21.175104,72.804342,21.255104,72.884342,14-03-2022,23:45,23:50,Sunny,Low,Metropolitian,motorcycle,0,1.0,24,SUR,2022-03-14,23:45:00,23:50:00,23.0,24
0x3f01,MUMRES15DEL01,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55,0.833333333,Windy,Jam,Metropolitian,motorcycle,1,0.0,37,MUM,2022-03-16,19:55:00,,19.0,37
0x628c,BANGRES15DEL02,12.975377,77.696664,13.025377,77.746664,01-03-2022,22:15,22:25,Sandstorms,Low,Metropolitian,scooter,1,0.0,24,BANG,2022-03-01,22:15:00,22:25:00,22.0,24
0x6c38,RANCHIRES11DEL03,23.359194,85.325447,23.419194,85.385447,01-03-2022,23:10,23:15,Sunny,Low,Metropolitian,electric_scooter,2,0.0,13,RANCHI,2022-03-01,23:10:00,23:15:00,23.0,13
0x8339,RANCHIRES07DEL02,23.359407,85.325055,23.439407,85.405055,02-03-2022,18:25,18:35,Cloudy,Medium,Urban,motorcycle,0,1.0,42,RANCHI,2022-03-02,18:25:00,18:35:00,18.0,42
0x3ec5,RANCHIRES01DEL03,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10,22:20,Sandstorms,Low,Metropolitian,motorcycle,0,1.0,17,RANCHI,2022-03-20,22:10:00,22:20:00,22.0,17
0xadb4,JAPRES17DEL03,26.892312,75.806896,26.922313,75.836896,03-04-2022,20:50,21:05,Cloudy,Jam,Metropolitian,motorcycle,0,0.0,25,JAP,2022-04-03,20:50:00,21:05:00,20.0,25
0x2bc0,INDORES14DEL01,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45,18:50,Fog,Medium,Metropolitian,scooter,1,0.0,39,INDO,2022-03-29,18:45:00,18:50:00,18.0,39
0x99e7,COIMBRES17DEL01,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55,15:05,Sunny,High,Metropolitian,scooter,2,0.0,18,COIMB,2022-03-17,14:55:00,15:05:00,14.0,18
0x39ef,CHENRES11DEL01,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50,0.708333333,Sandstorms,Medium,Metropolitian,motorcycle,2,1.0,28,CHEN,2022-03-17,16:50:00,,16.0,28
0xe264,KNPRES17DEL02,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20,22:35,Sandstorms,Low,Metropolitian,scooter,1,1.0,18,KNP,2022-02-15,22:20:00,22:35:00,22.0,18
0x9a29,RANCHIRES04DEL01,23.359033,85.325347,23.469033,85.435347,08-03-2022,21:10,21:20,Fog,Jam,Metropolitian,scooter,1,1.0,49,RANCHI,2022-03-08,21:10:00,21:20:00,21.0,49
0xd0e5,KOLRES17DEL03,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25,23:35,Sunny,Low,Metropolitian,motorcycle,0,0.0,15,KOL,2022-02-17,23:25:00,23:35:00,23.0,15
0xa480,BANGRES19DEL02,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30,23:35,Sunny,Low,Metropolitian,motorcycle,0,1.0,21,BANG,2022-03-31,23:30:00,23:35:00,23.0,21
0xb46c,MUMRES17DEL01,19.121999,72.908493,19.161999,72.948493,01-03-2022,14:20,14:35,Sunny,High,Metropolitian,scooter,2,0.0,23,MUM,2022-03-01,14:20:00,14:35:00,14.0,23
0x7150,SURRES14DEL01,21.157729,72.768726,21.167729,72.778726,03-04-2022,10:15,10:25,Fog,Low,Urban,scooter,2,1.0,11,SUR,2022-04-03,10:15:00,10:25:00,10.0,11
0x1e58,VADRES14DEL03,22.311603,73.165012,22.371603,73.225012,24-03-2022,21:20,21:35,Cloudy,Jam,Metropolitian,motorcycle,0,0.0,25,VAD,2022-03-24,21:20:00,21:35:00,21.0,25
0x4460,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,07-03-2022,08:50,08:55,Fog,Low,Metropolitian,motorcycle,2,0.0,18,PUNE,2022-03-07,08:50:00,08:55:00,8.0,18
0x1602,BANGRES010DEL03,12.933298,77.614293,13.023298,77.704293,12-03-2022,17:45,0.75,Windy,Medium,Metropolitian,motorcycle,0,2.0,36,BANG,2022-03-12,17:45:00,,17.0,36
0x894e,BANGRES12DEL02,12.939496,77.625999,12.989496,77.675999,24-03-2022,23:10,23:15,Fog,Low,Metropolitian,motorcycle,1,,18,BANG,2022-03-24,23:10:00,23:15:00,23.0,18
0x655,HYDRES14DEL01,17.426228,78.407495,17.436228,78.417495,05-03-2022,08:30,08:40,Sandstorms,Low,Metropolitian,motorcycle,0,1.0,28,HYD,2022-03-05,08:30:00,08:40:00,8.0,28
0x20f6,BANGRES11DEL03,12.934365,77.616155,13.024365,77.706155,18-03-2022,20:35,20:50,Fog,Jam,Metropolitian,motorcycle,0,0.0,44,BANG,2022-03-18,20:35:00,20:50:00,20.0,44
0x3db1,COIMBRES13DEL03,11.003669,76.976494,11.063669,77.036494,13-03-2022,23:25,23:40,Windy,Low,Metropolitian,motorcycle,0,1.0,20,COIMB,2022-03-13,23:25:00,23:40:00,23.0,20
0x8ed2,VADRES20DEL01,22.311358,73.164798,22.381358,73.234798,31-03-2022,19:55,20:05,Fog,Jam,Metropolitian,motorcycle,1,1.0,35,VAD,2022-03-31,19:55:00,20:05:00,19.0,35
0x64cc,CHENRES19DEL01,12.986047,80.218114,13.096047,80.328114,23-03-2022,21:20,21:30,Sandstorms,Jam,Metropolitian,motorcycle,0,1.0,50,CHEN,2022-03-23,21:20:00,21:30:00,21.0,50
0x2ed0,HYDRES02DEL03,17.41233,78.449654,17.47233,78.509654,24-03-2022,21:45,21:50,Stormy,Jam,Metropolitian,scooter,1,1.0,34,HYD,2022-03-24,21:45:00,21:50:00,21.0,34
0x4008,SURRES010DEL02,21.17106,72.789292,21.25106,72.869292,12-03-2022,19:40,19:55,Sunny,Jam,Metropolitian,electric_scooter,2,,17,SUR,2022-03-12,19:40:00,19:55:00,19.0,17
0x7553,SURRES03DEL01,21.186884,72.793616,21.226884,72.833616,03-03-2022,14:50,0.625,Sandstorms,High,Urban,scooter,1,0.0,23,SUR,2022-03-03,14:50:00,,14.0,23
0x35d8,COIMBRES17DEL03,11.026117,76.944652,11.056117,76.974652,09-03-2022,18:10,18:20,Fog,Medium,Metropolitian,motorcycle,0,1.0,27,COIMB,2022-03-09,18:10:00,18:20:00,18.0,27
0x4c88,MUMRES08DEL01,19.065838,72.832658,19.135838,72.902658,18-03-2022,23:40,23:50,Cloudy,Low,Metropolitian,scooter,1,1.0,35,MUM,2022-03-18,23:40:00,23:50:00,23.0,35
0xae56,COIMBRES02DEL01,11.022477,76.995667,11.132477,77.105667,04-03-2022,17:50,0.75,Stormy,Medium,Metropolitian,motorcycle,0,0.0,30,COIMB,2022-03-04,17:50:00,,17.0,30
0x9b79,MYSRES13DEL01,12.310972,76.659264,12.350972,76.699264,01-04-2022,12:30,12:45,Cloudy,High,Metropolitian,motorcycle,0,1.0,28,MYS,2022-04-01,12:30:00,12:45:00,12.0,28
0x596a,COIMBRES03DEL02,11.025083,77.015393,11.105083,77.095393,20-03-2022,17:10,17:20,Sandstorms,Medium,Metropolitian,motorcycle,0,1.0,24,COIMB,2022-03-20,17:10:00,17:20:00,17.0,24
0x78aa,MYSRES16DEL02,12.316967,76.603067,12.446967,76.733067,31-03-2022,19:15,19:30,Cloudy,Jam,Urban,motorcycle,0,1.0,36,MYS,2022-03-31,19:15:00,19:30:00,19.0,36
0xd7ec,KOLRES04DEL03,22.538731,88.364878,22.598731,88.424878,13-02-2022,23:50,23:55,Sandstorms,Low,Metropolitian,motorcycle,0,0.0,28,KOL,2022-02-13,23:50:00,23:55:00,23.0,28
0x55b1,COIMBRES11DEL01,11.001753,76.986241,11.111753,77.096241,29-03-2022,18:45,18:50,Fog,Medium,Urban,motorcycle,2,1.0,31,COIMB,2022-03-29,18:45:00,18:50:00,18.0,31
0x87e4,VADRES13DEL03,22.310237,73.158921,22.400237,73.248921,16-03-2022,20:40,20:45,Sunny,Jam,Metropolitian,motorcycle,0,3.0,44,VAD,2022-03-16,20:40:00,20:45:00,20.0,44
0x82c3,RANCHIRES04DEL02,23.359033,85.325347,23.439033,85.405347,14-03-2022,22:10,22:25,Windy,Low,Metropolitian,scooter,1,1.0,15,RANCHI,2022-03-14,22:10:00,22:25:00,22.0,15
0x5397,PUNERES18DEL01,18.593481,73.785901,18.663481,73.855901,31-03-2022,17:20,17:25,Windy,Medium,Metropolitian,motorcycle,0,1.0,33,PUNE,2022-03-31,17:20:00,17:25:00,17.0,33
0x876b,SURRES01DEL02,21.186438,72.794115,21.236438,72.844115,17-03-2022,19:55,20:10,Fog,Jam,Metropolitian,motorcycle,0,0.0,30,SUR,2022-03-17,19:55:00,20:10:00,19.0,30
