scenario_order_id,ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,City,Type_of_vehicle,Vehicle_condition,multiple_deliveries,Time_taken (min),city_code,order_date,order_time,pickup_time,order_hour,time_taken_min
31,0x9f02,MUMRES12DEL01,19.207222,72.972281,19.277222,73.042281,02-03-2022,22:35,22:50,Sunny,Low,Metropolitian,motorcycle,2,1.0,18,MUM,2022-03-02,22:35:00,22:50:00,22.0,18
32,0xb79b,MUMRES20DEL03,19.103249,72.846749,19.193249,72.936749,02-03-2022,22:35,22:40,Windy,Low,Urban,electric_scooter,2,1.0,11,MUM,2022-03-02,22:35:00,22:40:00,22.0,11
33,0x4059,MUMRES010DEL02,19.003517,72.82765,19.083517,72.90765,02-03-2022,22:45,22:50,Stormy,Low,Metropolitian,motorcycle,1,1.0,18,MUM,2022-03-02,22:45:00,22:50:00,22.0,18
34,0x11e6,MUMRES07DEL02,19.091458,72.827808,19.221458,72.957808,02-03-2022,22:55,23:05,Fog,Low,Metropolitian,motorcycle,0,2.0,39,MUM,2022-03-02,22:55:00,23:05:00,22.0,39
35,0x382e,MUMRES05DEL02,18.927584,72.832585,19.057584,72.962585,02-03-2022,22:55,23:10,Cloudy,Low,Metropolitian,motorcycle,2,1.0,27,MUM,2022-03-02,22:55:00,23:10:00,22.0,27
36,0xb6ff,MUMRES07DEL03,19.091458,72.827808,19.181458,72.917808,02-03-2022,22:55,0.958333333,Stormy,Low,Metropolitian,scooter,1,1.0,22,MUM,2022-03-02,22:55:00,,22.0,22
37,0x26fb,MUMRES12DEL02,19.207222,72.972281,19.287222,73.052281,02-03-2022,23:10,23:20,Windy,Low,Metropolitian,scooter,2,1.0,26,MUM,2022-03-02,23:10:00,23:20:00,23.0,26
38,0x2a86,MUMRES14DEL01,19.1813,72.836191,19.2513,72.906191,02-03-2022,23:10,23:25,Sunny,Low,Metropolitian,scooter,2,2.0,40,MUM,2022-03-02,23:10:00,23:25:00,23.0,40
39,0x6f0b,MUMRES09DEL03,18.994049,72.825203,19.084049,72.915203,02-03-2022,23:20,23:30,Fog,Low,Metropolitian,scooter,2,1.0,28,MUM,2022-03-02,23:20:00,23:30:00,23.0,28
40,0x2f9b,MUMRES17DEL01,19.121999,72.908493,19.231999,73.018493,02-03-2022,23:25,23:35,Cloudy,Low,Metropolitian,electric_scooter,2,1.0,29,MUM,2022-03-02,23:25:00,23:35:00,23.0,29
41,0x6864,MUMRES18DEL02,19.1093,72.825451,19.1893,72.905451,02-03-2022,23:30,23:35,Stormy,Low,Metropolitian,motorcycle,0,1.0,23,MUM,2022-03-02,23:30:00,23:35:00,23.0,23
42,0x1097,MUMRES010DEL03,19.003517,72.82765,19.093517,72.91765,02-03-2022,23:35,23:40,Sandstorms,Low,Urban,electric_scooter,2,0.0,12,MUM,2022-03-02,23:35:00,23:40:00,23.0,12
43,0x208b,MUMRES12DEL02,19.207222,72.972281,19.337222,73.102281,02-03-2022,23:35,23:50,Fog,Low,Metropolitian,scooter,2,0.0,28,MUM,2022-03-02,23:35:00,23:50:00,23.0,28
44,0xaf53,MUMRES01DEL01,19.12663,72.829976,19.23663,72.939976,02-03-2022,23:45,23:50,Cloudy,Low,Metropolitian,scooter,2,1.0,28,MUM,2022-03-02,23:45:00,23:50:00,23.0,28
45,0x84bb,MUMRES16DEL02,19.120083,72.907385,19.200083,72.987385,02-03-2022,23:50,24:05:00,Fog,Low,Metropolitian,motorcycle,0,1.0,37,MUM,2022-03-02,23:50:00,,23.0,37
46,0xf53,MUMRES16DEL03,19.120083,72.907385,19.210083,72.997385,02-03-2022,23:50,1,Cloudy,Low,Urban,scooter,2,1.0,29,MUM,2022-03-02,23:50:00,,23.0,29
47,0x570a,MUMRES20DEL02,19.103249,72.846749,19.183249,72.926749,02-03-2022,23:55,24:10:00,Sandstorms,Low,Metropolitian,electric_scooter,2,1.0,19,MUM,2022-03-02,23:55:00,,23.0,19
48,0x7fac,MUMRES03DEL01,19.22384,72.841347,19.33384,72.951347,02-03-2022,23:55,24:05:00,Cloudy,Low,Metropolitian,motorcycle,0,0.0,23,MUM,2022-03-02,23:55:00,,23.0,23
49,0xb75c,MUMRES02DEL01,19.221315,72.862381,19.331315,72.972381,02-03-2022,23:55,24:10:00,Stormy,Low,Urban,motorcycle,0,0.0,17,MUM,2022-03-02,23:55:00,,23.0,17
50,0xbdb2,MUMRES13DEL02,19.178321,72.834715,19.308321,72.964715,02-03-2022,23:55,24:05:00,Cloudy,Low,Metropolitian,scooter,1,1.0,27,MUM,2022-03-02,23:55:00,,23.0,27
